player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
19529463,Sajan Jain,8474848,SR Rangers,4,1,0,3,1,0,0,1,4
19500516,Shreyans Kothari,8474843,Falcon Giants,5,4,0,0,0,0,0,4,4
19501201,Jay Baid,8474846,Toxic 11,3,1,0,2,0,0,0,1,3
22431815,Raj Kothari,8474844,Chandralok Warriors,3,1,0,2,0,0,0,1,3
18368798,Aditya Jogad,8474844,Chandralok Warriors,3,0,0,2,0,1,0,0,3
19506123,Ansh Tushar Doshi,8474848,SR Rangers,4,2,0,1,0,0,0,2,3
19500636,Aniket Lunawat,8474848,SR Rangers,4,2,0,1,1,0,0,2,3
1649800,Akash Surana,8474845,Power Hitters,5,2,0,1,0,0,0,2,3
19501074,Mohit Modi,8474845,Power Hitters,5,2,0,1,0,0,0,2,3
3551307,Karan Puglia,8474843,Falcon Giants,5,0,2,0,0,1,0,2,3
19514122,Nilesh Banwat,8474846,Toxic 11,3,0,1,1,0,0,0,1,2
19524579,Chetan Zambad,8474846,Toxic 11,3,2,0,0,0,0,0,2,2
19537792,Sidhu Puglia,8474847,Gladiators Cricket Club,3,1,0,1,0,0,0,1,2
4136380,Sandip Jain,8474847,Gladiators Cricket Club,3,1,1,0,0,0,0,2,2
19501490,Sumit P Lunawat,8474848,SR Rangers,3,1,0,1,0,0,0,1,2
19519973,Sushil Puglia,8474845,Power Hitters,5,0,1,0,1,1,0,1,2
19537796,A Puglia,8474843,Falcon Giants,5,1,0,1,0,0,0,1,2
25738533,Rajiv Khajanchi,8474845,Power Hitters,5,1,0,1,0,0,0,1,2
25729700,Harsh R Chordia,8474846,Toxic 11,1,1,0,0,0,0,0,1,1
25749964,Priyanshu Khajanchi,8474844,Chandralok Warriors,3,0,0,1,0,0,0,0,1
6439642,Tarun Jain,8474846,Toxic 11,3,1,0,0,0,0,0,1,1
19520050,Gautam Bhandari,8474847,Gladiators Cricket Club,3,0,0,1,1,0,0,0,1
19520051,Hemantraj Singhvi,8474842,KT Lions,3,0,0,1,0,0,0,0,1
19502485,Anand Talera,8474847,Gladiators Cricket Club,3,1,0,0,0,0,0,1,1
19502345,Chirayuraj Singhvi,8474842,KT Lions,3,1,0,0,0,0,0,1,1
18468424,Nirav Bohra,8474842,KT Lions,3,0,0,1,1,0,0,0,1
34995022,Ankit P Jain,8474844,Chandralok Warriors,3,0,0,1,1,0,0,0,1
14855845,Adi Doshi,8474847,Gladiators Cricket Club,3,0,0,1,0,0,0,0,1
19500771,Pratik Kothari,8474846,Toxic 11,3,1,0,0,0,0,0,1,1
4178393,Rushabh Puglia,8474843,Falcon Giants,3,0,0,1,0,0,0,0,1
19500313,Madhur Pugliya,8474844,Chandralok Warriors,3,1,0,0,1,0,0,1,1
19500407,Ojas Pugliya,8474847,Gladiators Cricket Club,3,1,0,0,0,0,0,1,1
19500483,Namanchandulal Bohra,8474842,KT Lions,3,0,0,1,0,0,0,0,1
24510507,Ankush Jain,8474846,Toxic 11,3,1,0,0,0,0,0,1,1
24510219,Siddarth Jain,8474849,Parshav Panthers,4,1,0,0,1,0,0,1,1
34554343,Rishabh Jain,8474849,Parshav Panthers,4,0,0,1,0,0,0,0,1
4672124,Dhawal Pankaj Jain,8474849,Parshav Panthers,4,1,0,0,0,0,0,1,1
19519863,Saurabh Jain,8474849,Parshav Panthers,4,0,0,1,0,0,0,0,1
19507137,Shashank Sanjay Jain,8474849,Parshav Panthers,4,0,0,1,0,0,0,0,1
24510656,Sanskar Jain,8474849,Parshav Panthers,4,0,0,1,1,0,0,0,1
19519957,Shanti Dugad,8474845,Power Hitters,5,1,0,0,0,0,0,1,1
19502632,Harsh Baid,8474843,Falcon Giants,5,1,0,0,0,0,0,1,1
19505004,Siddarth Chopda,8474843,Falcon Giants,5,0,0,1,1,0,0,0,1
35016227,Khush Chopda,8474843,Falcon Giants,5,0,0,1,1,0,0,0,1
30093714,Yash,8474843,Falcon Giants,5,1,0,0,0,0,0,1,1
19500206,Aayush Nilesh Puglia,8474845,Power Hitters,5,0,0,1,0,0,0,0,1
25739124,Ashish Khajanchi,8474848,SR Rangers,1,0,0,0,0,0,0,0,0
19502819,Ajay Kothari,8474847,Gladiators Cricket Club,1,0,0,0,0,0,0,0,0
24510510,Aditya Jain,8474849,Parshav Panthers,1,0,0,0,0,0,0,0,0
19502387,Harsh Daga,8474844,Chandralok Warriors,1,0,0,0,0,0,0,0,0
19524649,Piyush Jain,8474844,Chandralok Warriors,1,0,0,0,0,0,0,0,0
34994708,Suyash Kothari,8474844,Chandralok Warriors,1,0,0,0,0,0,0,0,0
19500479,Narendra Bohra,8474842,KT Lions,1,0,0,0,0,0,0,0,0
19508120,Tanish Rajesh Chordiya,8474842,KT Lions,2,0,0,0,0,0,0,0,0
24510924,Shubham Jain,8474849,Parshav Panthers,2,0,0,0,0,0,0,0,0
3568650,Vivek Jain,8474849,Parshav Panthers,2,0,0,0,0,0,0,0,0
17150580,Pratham Dugad,8474848,SR Rangers,2,0,0,0,0,0,0,0,0
19537791,Rishab Saklecha,8474848,SR Rangers,2,0,0,0,0,0,0,0,0
34993729,Rahul Gandhi,8474846,Toxic 11,2,0,0,0,0,0,0,0,0
19501771,Tejas Rajesh Jain,8474847,Gladiators Cricket Club,2,0,0,0,0,0,0,0,0
19503423,Vansh Shaha,8474843,Falcon Giants,2,0,0,0,0,0,0,0,0
25730976,Aadesh Kothari,8474842,KT Lions,3,0,0,0,0,0,0,0,0
34997069,Rahul Khatod,8474846,Toxic 11,3,0,0,0,0,0,0,0,0
1740460,Pankaj Mutha,8474842,KT Lions,3,0,0,0,0,0,0,0,0
25756680,Nirmal Bhandari,8474844,Chandralok Warriors,3,0,0,0,0,0,0,0,0
23693726,Mahavir Khajanchi,8474844,Chandralok Warriors,3,0,0,0,1,0,0,0,0
9877497,Dr Yashkumar Jain,8474846,Toxic 11,3,0,0,0,0,0,0,0,0
19500741,Piyush Dugad,8474842,KT Lions,3,0,0,0,0,0,0,0,0
19503043,Hiten Khatod,8474842,KT Lions,3,0,0,0,0,0,0,0,0
19503230,Chetan Nandkishor Munot,8474847,Gladiators Cricket Club,3,0,0,0,0,0,0,0,0
19519967,Mayur Bhandari,8474844,Chandralok Warriors,3,0,0,0,0,0,0,0,0
19529455,Pranay Puglia,8474847,Gladiators Cricket Club,3,0,0,0,1,0,0,0,0
19513925,Rahul Kothari,8474848,SR Rangers,4,0,0,0,0,0,0,0,0
19513542,Aalekh Gandhi,8474848,SR Rangers,4,0,0,0,1,0,0,0,0
34554511,Varun Jain,8474849,Parshav Panthers,4,0,0,0,0,0,0,0,0
19468485,Palash Singhvi,8474848,SR Rangers,4,0,0,0,0,0,0,0,0
