Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Siddarth Jain,Parshav Panthers,,,,4,14.686,3.062,0.980,18.728
Aayush Nilesh Puglia,Power Hitters,,Right-arm Leg Break,RHB,5,14.718,1.391,1.400,17.509
Shashank Sanjay Jain,Parshav Panthers,,Right-arm Leg Break,RHB,4,11.206,4.486,0.700,16.392
Ankush Puglia,Falcon Giants,,Right-arm medium,RHB,5,7.728,6.002,1.680,15.410
Sidhu Puglia,Gladiators Cricket Club,,Right-arm fast,RHB,3,12.234,1.377,1.680,15.291
Adi Doshi,Gladiators Cricket Club,,Right-arm fast,RHB,3,6.539,8.041,0.700,15.280
Nirav Bohra,KT Lions,Top-order batter,Right-arm Off Break,RHB,3,11.782,0.406,2.100,14.288
Akash Surana,Power Hitters,All-Rounder,Right-arm Off Break,RHB,5,10.911,1.271,1.260,13.442
Sajan Jain,SR Rangers,,Right-arm medium,RHB,4,5.806,2.599,4.480,12.885
Aniket Lunawat,SR Rangers,,Right-arm medium,,4,5.880,3.066,2.660,11.606
Jay Baid,Toxic 11,,Right-arm medium,RHB,3,6.551,1.731,3.080,11.362
Rushabh Puglia ,Falcon Giants,,Right-arm medium,RHB,3,8.467,1.534,0.700,10.701
Dr. Pranay Gandhi,Power Hitters,Opening batter,Right-arm fast,RHB,5,10.500,0.000,0.000,10.500
Raj Kothari,Chandralok Warriors,,,,3,6.614,1.135,2.380,10.129
Tarun Jain,Toxic 11,,,,3,9.580,0.000,0.280,9.860
Ansh Tushar Doshi,SR Rangers,All-Rounder,Right-arm Off Break,RHB,4,7.919,0.190,1.260,9.369
Aalekh Gandhi,SR Rangers,,Right-arm medium,RHB,4,5.370,3.017,0.700,9.087
YASH,Falcon Giants,,Right-arm fast,RHB,5,8.083,0.090,0.280,8.453
Madhur pugliya,Chandralok Warriors,,Right-arm medium,RHB,3,5.338,1.795,0.980,8.113
Khush Chopda,Falcon Giants,,,,4,0.500,5.901,1.400,7.801
Palash Singhvi,SR Rangers,None,None,RHB,4,3.839,3.478,0.000,7.317
Manav Banthia,Falcon Giants,,Left-arm medium,LHB,5,1.900,5.145,0.000,7.045
RAJIV  KHAJANCHI,Power Hitters,,Right-arm medium,RHB,5,0.000,4.729,1.680,6.409
Ankush Jain,Toxic 11,,,,3,0.000,5.736,0.280,6.016
Dr yashkumar jain,Toxic 11,,Right-arm medium,RHB,3,2.600,3.239,0.000,5.839
Shanti dugad,Power Hitters,,Right-arm fast,RHB,5,2.521,2.857,0.280,5.658
Priyanshu Khajanchi,Chandralok Warriors,Top-order batter,Right-arm medium,RHB,3,4.842,0.000,0.700,5.542
Shreyans Kothari,Falcon Giants,Top-order batter,Right-arm Leg Break,RHB,5,4.172,-0.172,1.120,5.120
RAHUL KOTHARI,SR Rangers,,Right-arm medium,,4,0.720,4.285,0.000,5.005
Mayur Bhandari,Chandralok Warriors,,Right-arm medium,RHB,3,0.800,4.159,0.000,4.959
Sanskar Jain,Parshav Panthers,,,,4,2.732,0.099,2.100,4.931
Mohit Modi,Power Hitters,,Right-arm fast,RHB,3,1.326,1.361,1.960,4.647
Harsh Baid,Falcon Giants,,Right-arm fast,RHB,5,0.000,4.321,0.280,4.601
Pratik Kothari,Toxic 11,,Right-arm medium,,3,1.415,2.907,0.130,4.452
Adish Banthia,Power Hitters,,Right-arm medium,,5,0.000,4.263,0.000,4.263
Aditya Jogad,Chandralok Warriors,All-Rounder,Right-arm medium,RHB,3,0.100,1.362,2.324,3.786
Siddarth Chopda,Falcon Giants,,,,5,0.000,1.523,2.100,3.623
Ankit p jain,Chandralok Warriors,,,,3,0.000,1.011,2.100,3.111
Chetan Zambad,Toxic 11,,Left-arm fast,,3,1.122,1.410,0.560,3.092
Nilesh Banwat,Toxic 11,None,None,RHB,3,0.100,1.295,1.680,3.075
Hemantraj Singhvi,KT Lions,None,Right-arm Off Break,RHB,2,0.912,1.346,0.700,2.958
Namanchandulal bohra,KT Lions,,Right-arm Leg Break,RHB,3,0.200,1.346,1.400,2.946
Dhawal Pankaj Jain,Parshav Panthers,All-Rounder,Right-arm Off Break,RHB,4,1.100,1.540,0.280,2.920
Sushil Puglia,Power Hitters,,Right-arm medium,,5,0.000,1.512,1.260,2.772
Aadesh Kothari,KT Lions,,,,3,1.003,1.496,0.000,2.499
Gautam Bhandari,Gladiators Cricket Club,,,RHB,3,0.789,0.147,1.400,2.336
Saurabh Jain,Parshav Panthers,,Right-arm Leg Break,RHB,4,0.500,0.364,1.400,2.264
Pranay Pugliya,Gladiators Cricket Club,,Right-arm fast,RHB,2,0.100,1.456,0.700,2.256
Karan Puglia,Falcon Giants,,Right-arm medium,RHB,4,1.200,-0.051,0.840,1.989
Rahul Gandhi,Toxic 11,,,,1,1.600,0.000,0.000,1.600
Ojas pugliya,Gladiators Cricket Club,,Right-arm medium,RHB,3,0.800,0.106,0.280,1.186
Mahavir khajanchi,Chandralok Warriors,,,,3,0.300,0.143,0.700,1.143
Sumit p lunawat,SR Rangers,,,,1,0.000,0.000,0.980,0.980
Tanish Rajesh Chordiya,KT Lions,,,,1,0.944,0.000,0.000,0.944
Rishabh Jain,Parshav Panthers,,,,2,0.200,0.000,0.700,0.900
Chirayuraj Singhvi,KT Lions,,,RHB,2,0.600,0.000,0.280,0.880
Chetan Nandkishor Munot,Gladiators Cricket Club,,Right-arm medium,RHB,3,0.800,-0.018,0.000,0.782
Piyush Dugad,KT Lions,,Right-arm fast,,3,0.800,-0.030,0.000,0.770
Pankaj Mutha,KT Lions,None,Slow left-arm chinaman,RHB,2,0.402,0.178,0.000,0.580
Hiten Khatod,KT Lions,All-Rounder,Right-arm Leg Break,RHB,2,0.600,-0.077,0.000,0.523
Bunty Jain,Parshav Panthers,Top-order batter,Right-arm medium,RHB,1,0.500,0.000,0.000,0.500
Sandip Jain,Gladiators Cricket Club,,Right-arm medium,RHB,2,0.000,0.000,0.410,0.410
Anand Talera,Gladiators Cricket Club,,Right-arm medium,RHB,2,0.000,0.116,0.280,0.396
Harsh R Chordia,Toxic 11,,,,1,0.000,0.000,0.280,0.280
Vansh shaha,Falcon Giants,,Right-arm medium,RHB,1,0.100,0.000,0.000,0.100
