player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
19526990,Manav Banthia,5662300,JAIN UNITED,4,4,6,48,3,5.75,8.00,0,7.67,46,Left-arm medium,8.0,33
25743254,Adish Banthia,5662292,K T LIONS,5,5,5,54,2,9.67,10.80,0,17.4,87,Right-arm medium,9.0,21
24510923,Ashwin Jain,5662311,SR RANGERS,3,3,4,24,3,8.75,6.00,0,8.75,35,-,4.0,12
18468424,Nirav Bohra,5662292,K T LIONS,5,5,3,60,1,5.70,20.00,0,19,57,Right-arm Off Break,10.0,26
25751625,Saurabh Jain,5662319,TOOFANI JAINS,5,5,3,60,2,6.80,20.00,0,22.67,68,-,10.0,33
19500313,Madhur Pugliya,5662300,JAIN UNITED,4,4,3,42,2,8.43,14.00,0,19.67,59,Right-arm medium,7.0,19
25738768,Moksh Mahavir Meher,5662292,K T LIONS,5,4,3,24,2,13.75,8.00,0,18.33,55,Right-arm medium,4.0,7
25730976,Aadesh Kothari,5662311,SR RANGERS,3,3,2,36,1,6.33,18.00,0,19,38,-,6.0,21
19529455,Pranay Pugliya,5662316,ACLESHWAR KI ANDHI,3,3,2,24,1,7.25,12.00,0,14.5,29,Right-arm fast,4.0,11
19502485,Anand Talera,5662323,THE MARVEL PLAYERS,3,3,2,36,1,7.67,18.00,0,23,46,Right-arm medium,6.0,13
25756680,Nirmal Bhandari,5662323,THE MARVEL PLAYERS,3,2,2,18,1,10.33,9.00,0,15.5,31,-,3.0,8
25749706,Mohit Modi,5662305,ROYAL RAJWADA,4,4,2,30,2,11.00,15.00,0,27.5,55,-,5.0,13
25738129,Mayur Yogeshkumar Bhandari,5662316,ACLESHWAR KI ANDHI,3,3,2,30,1,11.20,15.00,0,28,56,Right-arm medium,5.0,10
19500746,Anmol Khatod ji,5662300,JAIN UNITED,4,4,2,30,1,13.00,15.00,1,32.5,65,Right-arm fast,5.0,14
17150580,Pratham Dugad,5662323,THE MARVEL PLAYERS,3,2,2,12,1,13.50,6.00,0,13.5,27,-,2.0,5
19524573,Rajesh Daga,5662292,K T LIONS,5,5,2,30,2,14.00,15.00,0,35,70,Right-arm Off Break,5.0,12
19500516,Shreyans Kothari,5662311,SR RANGERS,3,1,1,6,1,1.00,6.00,0,1,1,Right-arm Leg Break,1.0,6
19519979,Prashant Bhalgat,5662323,THE MARVEL PLAYERS,3,1,1,6,1,2.00,6.00,0,2,2,-,1.0,4
21758737,Harsh,5662292,K T LIONS,5,3,1,18,1,6.00,18.00,0,18,18,Right-arm fast,3.0,6
4914226,Yogesh Chordiya,5662323,THE MARVEL PLAYERS,3,3,1,36,1,6.00,36.00,0,36,36,Right-arm medium,6.0,14
19500741,Piyush Dugad,5662305,ROYAL RAJWADA,4,3,1,24,1,7.50,24.00,0,30,30,Right-arm fast,4.0,12
1649800,Akash Surana,5662323,THE MARVEL PLAYERS,3,1,1,6,1,8.00,6.00,0,8,8,Right-arm Off Break,1.0,3
21510122,Siddesh,5662316,ACLESHWAR KI ANDHI,3,1,1,6,1,10.00,6.00,0,10,10,Right-arm fast,1.0,1
19468485,Palashraj Singhvi,5662305,ROYAL RAJWADA,4,4,1,30,1,10.00,30.00,0,50,50,None,5.0,13
19524649,Piyush Jain,5662281,POWER HITTERS,3,3,1,30,1,10.00,30.00,0,50,50,Right-arm fast,5.0,16
19537792,Sidhu Puglia,5662316,ACLESHWAR KI ANDHI,3,3,1,30,1,10.40,30.00,0,52,52,Right-arm fast,5.0,14
